Index,Latitude,Longitude,2018,2019
0,24.66818,71.33144,7.119091511,10.7047596
1,24.66818,71.41106,45.93735123,26.97822189
2,24.66818,71.49069,75.66605377,56.543396
3,24.66818,71.57031,94.86767578,65.01010132
4,24.66818,71.64994,18.41731834,24.76515961
5,24.66818,71.72956,41.33000946,33.6658783
6,24.66818,71.80919,54.93893814,43.91639328
7,24.66818,71.88882,60.95516586,81.63516998
8,24.66818,71.96844,36.30583954,64.46113586
9,24.66818,72.04807,48.9426384,103.7266922
10,24.66818,72.12769,10.74437332,26.66132545
11,24.66818,72.20732,6.86714077,5.599020958
12,24.66818,72.28694,5.640847683,3.361171484
13,24.66818,72.36657,0.172644451,0.188793421
14,24.58758,71.25181,2.716700792,1.019642115
15,24.58758,71.33144,42.44734573,53.22688293
16,24.58758,71.41106,106.566391,84.75993347
17,24.58758,71.49069,151.7554321,156.0427246
18,24.58758,71.57031,150.5240173,129.5968628
19,24.58758,71.64994,78.76825714,96.27437592
20,24.58758,71.72956,105.8520966,102.9353714
21,24.58758,71.80919,122.66819,133.8138733
22,24.58758,71.88882,119.7842865,128.2229614
23,24.58758,71.96844,138.2146759,182.1651611
24,24.58758,72.04807,112.0042496,181.0979156
25,24.58758,72.12769,97.2996521,70.61997223
26,24.58758,72.20732,51.46546936,46.745121
27,24.58758,72.28694,35.51609421,35.08980179
28,24.58758,72.36657,3.725831747,4.346619129
29,24.50698,71.25181,0.812193334,0.267058492
30,24.50698,71.33144,34.07683182,36.77732468
31,24.50698,71.41106,102.5909882,133.3445129
32,24.50698,71.49069,176.1670074,164.4606476
33,24.50698,71.57031,154.047699,152.5561371
34,24.50698,71.64994,135.7204742,153.2947235
35,24.50698,71.72956,109.0379257,141.7050171
36,24.50698,71.80919,211.1338348,172.7907867
37,24.50698,71.88882,196.1091309,171.6284332
38,24.50698,71.96844,127.262764,108.3215561
39,24.50698,72.04807,88.49543762,70.82865143
40,24.50698,72.12769,90.91860962,58.93650055
41,24.50698,72.20732,107.0972443,72.77268219
42,24.50698,72.28694,102.0584869,105.2875214
43,24.50698,72.36657,34.83533478,29.95014954
44,24.50698,72.44619,4.306517124,2.118710756
45,24.50698,72.60544,0.917017281,0.121640176
46,24.50698,72.68507,1.257847309,0.56758225
47,24.42638,71.33144,22.98344994,31.14084625
48,24.42638,71.41106,116.4899521,129.9812469
49,24.42638,71.49069,161.5209961,117.1586075
50,24.42638,71.57031,120.4527435,97.95258331
51,24.42638,71.64994,104.2920227,151.4829407
52,24.42638,71.72956,117.8468018,133.6608582
53,24.42638,71.80919,154.5297852,174.6826782
54,24.42638,71.88882,152.9187012,163.3219604
55,24.42638,71.96844,158.1250916,125.6347122
56,24.42638,72.04807,220.6620789,155.258255
57,24.42638,72.12769,145.8184052,130.4641876
58,24.42638,72.20732,120.2725677,105.3277054
59,24.42638,72.28694,80.59185791,65.92701721
60,24.42638,72.36657,83.42652893,66.37728882
61,24.42638,72.44619,22.92100525,12.98153591
62,24.42638,72.52582,9.071401596,6.051537991
63,24.42638,72.60544,22.33562469,31.69244194
64,24.42638,72.68507,14.99946308,21.26015663
65,24.42638,73.00357,5.608872414,2.579898119
66,24.42638,73.08319,6.572053432,4.996021271
67,24.42638,73.16282,0.418609381,0.39320156
68,24.34578,71.25181,0.235250086,0.20303832
69,24.34578,71.33144,10.9646244,6.697161674
70,24.34578,71.41106,131.9754639,89.24321747
71,24.34578,71.49069,152.5704803,116.8752441
72,24.34578,71.57031,120.5389862,111.849617
73,24.34578,71.64994,119.9685059,173.544281
74,24.34578,71.72956,157.5238495,198.3537598
75,24.34578,71.80919,178.7689514,196.5240936
76,24.34578,71.88882,124.5692902,177.5756378
77,24.34578,71.96844,117.2999191,117.5306549
78,24.34578,72.04807,198.524765,187.1208954
79,24.34578,72.12769,211.279068,188.6314087
80,24.34578,72.20732,129.6869812,114.4517822
81,24.34578,72.28694,39.97214127,29.41644859
82,24.34578,72.36657,53.96403122,38.47465897
83,24.34578,72.44619,30.37734413,34.36282349
84,24.34578,72.52582,69.20612335,93.10302734
85,24.34578,72.60544,37.77539825,33.97724915
86,24.34578,72.68507,8.892220497,11.03670692
87,24.34578,73.00357,14.95927906,6.002253056
88,24.34578,73.08319,39.58082581,32.64996338
89,24.34578,73.16282,8.213934898,7.465894699
90,24.34578,73.24244,0.139176726,0.143110275
91,24.26518,71.25181,2.174687147,0.849552572
92,24.26518,71.33144,69.86917877,34.51903915
93,24.26518,71.41106,166.6182709,137.9953918
94,24.26518,71.49069,158.0940247,121.4373169
95,24.26518,71.57031,83.00853729,104.215683
96,24.26518,71.64994,150.161499,153.9412231
